Yahoo Symbol,Company Name,BSE Code
500370.BO,Salora International Ltd,500370
JINDALSAW.NS,Jindal Saw Ltd,500378
JKLAKSHMI.NS,JK Lakshmi Cement Ltd,500380
SHREECEM.NS,Shree Cement Ltd,500387
500388.BO,Shree Krishna Paper Mills & Industries Ltd,500388
500389.BO,Silverline Technologies Ltd,500389
500390.BO,Reliance Infrastructure Ltd,500390
TATAPOWER.NS,Tata Power Company Ltd,500400
SPMLINFRA.NS,SPML Infra Ltd,500402
SUNDRMFAST.NS,Sundram Fasteners Ltd,500403
500404.BO,Sunflag Iron & Steel Company Ltd,500404
SPLPETRO.NS,Supreme Petrochem Ltd,500405
SWARAJENG.NS,Swaraj Engines Ltd,500407
TATAELXSI.NS,Tata Elxsi Ltd,500408
ACC.NS,ACC Ltd,500410
THERMAX.NS,Thermax Ltd,500411
TIRUMALCHM.NS,Thirumalai Chemicals Ltd,500412
THOMASCOOK.NS,Thomas Cook (India) Ltd,500413
500414.BO,Timex Group India Ltd,500414
TOKYOPLAST.NS,Tokyo Plast International Ltd,500418
TORNTPHARM.NS,Torrent Pharmaceuticals Ltd,500420
500421.BO,TPI India Ltd,500421
500422.BO,Transchem Ltd,500422
AMBUJACEM.NS,Ambuja Cements Ltd,500425
500426.BO,UTL Industries Ltd,500426
UNIENTER.NS,Uniphos Enterprises Ltd,500429
VHL.NS,Vardhman Holdings Ltd,500439
HINDALCO.NS,Hindalco Industries Ltd,500440
WSTCSTPAPR.NS,West Coast Paper Mills Ltd,500444
500449.BO,Hindustan Organic Chemicals Ltd,500449
500450.BO,MPIL Corporation Ltd,500450
PASUPTAC.NS,Pasupati Acrylon Ltd,500456
500458.BO,Kore Foods Ltd,500458
PGHH.NS,Procter & Gamble Hygiene and Health Care Ltd,500459
MUKANDLTD.NS,Mukand Ltd,500460
500463.BO,Black Box Ltd,500463
UCAL.NS,Ucal  Ltd,500464
HARRMALAYA.NS,Harrisons Malayalam Ltd,500467
500469.BO,Federal Bank Ltd,500469
TATASTEEL.NS,Tata Steel Ltd,500470
SKFINDIA.NS,SKF India Ltd,500472
ASHOKLEY.NS,Ashok Leyland Ltd,500477
CUMMINSIND.NS,Cummins India Ltd,500480
TATACOMM.NS,Tata Communications Ltd,500483
ABBOTINDIA.NS,Abbott India Ltd,500488
BAJAJHLDNG.NS,Bajaj Holdings & Investment Ltd,500490
BHARATFORG.NS,Bharat Forge Ltd,500493
ESCORTS.NS,Escorts Kubota Ltd,500495
500500.BO,Hindustan Motors Ltd,500500
LT.NS,Larsen & Toubro Ltd,500510
M&M.NS,Mahindra & Mahindra Ltd,500520
BOSCHLTD.NS,Bosch Ltd,500530
500540.BO,Premier Ltd,500540
BPCL.NS,Bharat Petroleum Corporation Ltd,500547
SIEMENS.NS,Siemens Ltd,500550
TATAMOTORS.NS,Tata Motors Ltd,500570
VOLTAS.NS,Voltas Ltd,500575
500620.BO,Great Eastern Shipping Company Ltd,500620
500645.BO,Deepak Fertilisers & Petrochemicals Corporation Ltd,500645
EXCELINDUS.NS,Excel Industries Ltd,500650
GRWRHITECH.NS,Garware Hi-Tech Films Ltd,500655
GLAXO.NS,GlaxoSmithKline Pharmaceuticals Ltd,500660
500670.BO,Gujarat Narmada Valley Fertilizers & Chemicals Ltd,500670
500672.BO,Novartis India Ltd,500672
